,model,informative_features,main_features,random_features,moderator_features,random_seed,total_features,informative_recall,main_recall,moderator_recall,feature_precision
1,shap,3,2,1,0,245,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,940,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,940,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,0,13,5,1.0,1.0,0.0,1.0
1,shap,3,2,1,0,13,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,0,1,375,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,375,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,425,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,425,6,1.0,1.0,1.0,1.0
0,default,3,2,1,1,929,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,929,5,1.0,1.0,0.0,1.0
0,default,3,2,0,1,548,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,1,548,6,1.0,1.0,1.0,1.0
0,default,3,2,0,0,961,5,1.0,1.0,0.0,1.0
1,shap,3,2,0,0,961,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,292,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,292,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,467,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,1,467,6,1.0,1.0,1.0,1.0
0,default,3,2,0,1,201,6,1.0,1.0,1.0,1.0
1,shap,3,2,1,1,201,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,1,1,214,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,1,0,214,6,1.0,1.0,0.0,0.8333333333333334
0,default,3,2,1,1,504,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,504,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,959,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,959,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,687,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,687,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,962,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,962,5,1.0,1.0,0.0,1.0
0,default,3,2,0,0,625,5,1.0,1.0,0.0,1.0
1,shap,3,2,0,0,625,5,1.0,1.0,0.0,1.0
0,default,3,2,1,1,823,7,1.0,1.0,1.0,0.8571428571428572
1,shap,3,2,0,0,823,5,1.0,1.0,0.0,1.0
0,default,3,1,0,1,324,5,1.0,0.5,1.0,1.0
1,shap,3,2,1,1,324,7,1.0,1.0,1.0,0.8571428571428572
0,default,3,2,0,1,402,6,1.0,1.0,1.0,1.0
1,shap,3,2,0,0,402,5,1.0,1.0,0.0,1.0
